"x","y","track_id","time"
-632.06605,35.089832,"7a",1970-01-01 01:07:49
-635.75464,32.812521,"7a",1970-01-01 01:07:50
-637.55084,31.272932,"7a",1970-01-01 01:07:51
-638.7376,26.878684,"7a",1970-01-01 01:07:52
-639.69984,24.793822,"7a",1970-01-01 01:07:53
-640.08475,20.495798,"7a",1970-01-01 01:07:54
-642.61864,18.090188,"7a",1970-01-01 01:07:55
-646.46762,18.667535,"7a",1970-01-01 01:07:56
-649.61094,16.807196,"7a",1970-01-01 01:07:57
-652.43355,14.818558,"7a",1970-01-01 01:07:58
-653.33162,12.412948,"7a",1970-01-01 01:07:59
-651.43922,12.733696,"7a",1970-01-01 01:08:00
-649.22606,13.086519,"7a",1970-01-01 01:08:01
-648.26382,16.133625,"7a",1970-01-01 01:08:02
-646.30725,15.460054,"7a",1970-01-01 01:08:03
-645.63368,13.182744,"7a",1970-01-01 01:08:04
-647.39778,13.311043,"7a",1970-01-01 01:08:05
-646.91667,8.4677476,"7a",1970-01-01 01:08:06
-646.98087,6.6074091,"7a",1970-01-01 01:08:07
-647.14123,4.4904723,"7a",1970-01-01 01:08:08
-647.01294,2.7584328,"7a",1970-01-01 01:08:09
-646.88464,-0.801870049999998,"7a",1970-01-01 01:08:10
-647.17333,-2.8546573,"7a",1970-01-01 01:08:11
-645.0243,-2.8546573,"7a",1970-01-01 01:08:12
-643.90167,-2.9508813,"7a",1970-01-01 01:08:13
-641.56022,-3.3037043,"7a",1970-01-01 01:08:14
-641.0791,-4.9715939,"7a",1970-01-01 01:08:15
-638.70557,-7.5375781,"7a",1970-01-01 01:08:16
-643.22812,-9.5582904,"7a",1970-01-01 01:08:17
-643.83754,-12.733696,"7a",1970-01-01 01:08:18
-641.56022,-11.065806,"7a",1970-01-01 01:08:19
-637.0056,-10.745058,"7a",1970-01-01 01:08:20
-634.47169,-10.456385,"7a",1970-01-01 01:08:21
-634.31132,-11.482779,"7a",1970-01-01 01:08:22
-631.55288,-10.039413,"7a",1970-01-01 01:08:23
-628.95483,-7.0885307,"7a",1970-01-01 01:08:24
-628.73031,-5.0036686,"7a",1970-01-01 01:08:25
-621.96253,-2.9508813,"7a",1970-01-01 01:08:26
-626.54921,3.2716302,"7a",1970-01-01 01:08:27
-624.88133,6.0942128,"7a",1970-01-01 01:08:28
-623.63041,8.147,"7a",1970-01-01 01:08:29
